Source;Agence;Réseau;Adresse;Adresse2;CP;VILLE;E-mail;TEL;FAX;WEB;;;;
APV;Jacqueson Tourisme;;7 rue du Beffroi;;02200;Soissons;jlefevre@jacqueson.net;03 23 59 06 10;;;;;;
APV;Thomas Cook;Thomas Cook;3 place de la République;;02200;Soissons;soissons@thomascook.fr;03 23 76 48 10;03 23 93 40 49;www.thomascook.fr;;;;
APV;Selectour Afat;Afat;3 avenue Joussaume Latour;;02400;Château-Thierry;mondialtour@wanadoo.fr;03 23 84 25 25;;;;;;
NDV;Service Voyages;;18 avenue Carnot;;02000;Laon;smservices-voyages@wanadoo.fr;03 23 27 37 37;;www.services-voyages.fr;;;;
APV;Leclerc Voyages;Leclerc Voyages;rue Descartes;;02000;Chamby-Laon;chambry@leclercvoyages.com;03 23 23 73 36;03 23 23 89 76;www.leclercvoyaes.com;;;;
APV;E. Leclerc Voyage;Leclerc Voyages;Faubourg du Moulin;;52000;Chaumont;chaumont@leclercvoyages.com;03 25 02 47 55;03 25 02 47 56;www.leclercvoyaes.com;;;;
APV;Selectour Afat;Afat;24 rue Toupot BP 172;;52005;Chaumont;deltavoyages@wanadoo.fr;03 25 32 62 15;03 25 32 00 89;www.deltavoyageschaumont.FR;;;;
APV;Pret à Partir;Pret à Partir;65 rue victoire de la Marne;;52000;Chaumont;mcanastasio@pretapartir,fr;03 25 32 12 57;03 25 03 28 56;www.pretapartir.fr;;;;
APV;Havas Voyages;Havas Voyages;55, rue Gambetta;;52100;Saint Dizier;brigitte.briard@havas-voyages.fr;;03 25 04 91 97;www.havas-voyages.fr;;;;
APV;Pret à Partir;Pret à Partir;12 rue Emile Giros;;52100;Saint Dizier;eva-saint-dizier@pretapartir.fr;03 25 04 37 80;03 25 04 37 79;;;;;
APV;Pret à Partir;Pret à Partir;Chemin du Vieux Moulin;;52000;Chaumont;vsarritu@pretapartir.fr;03 25 32 32 69;03 25 32 20 30;www.pretapartir.fr;;;;
APV;Leclerc Voyages;Leclerc Voyages;Rue des Loyes;;52000;Saint Dizier;voyage.sodichamp@scapest.fr;03 25 06 90 00;03 25 06 89 99;www.leclercvoyaes.com;;;;
APV;Havas Voyages;Havas Voyages;73 rue de Béveaux;;52000;Chaumont;ag.lchaumont@havasvoyages.fr;03 25 03 12 69;03 25 03 17 55;www.havas-voyages.fr;;;;
APV;E. Leclerc voyages;Leclerc Voyages;Eurl Sensevasion Le Pre Aubert;;89100;Saint-Denis-Les-Sens;voyage.denidis@leclercvoyages.com;03 86 64 05 41;03 86 83 07 80;voyage.dendis@leclercvoyages.com;;;;
APV;E. Leclerc Voyage;Leclerc Voyages;7 rue de Cracovie;;21000;Dijon;dijon@leclercvoyages.com;03 80 28 04 63;03 80 73 54 17;;;;;
APV;Voyages Conseil Bourgogne;;1 place des cordeliers;;21000;Dijon;voyageconseilbourgogne.fr;03 80 30 98 26;03 80 30 99 50;agence@voyageconseilbourgogne.fr;;;;
APV;Marmara;Marmara;39 rue Chabot Charny;;21000;Dijon;dijon@marmara.com;03 80 68 08 08;03 8066 42 23;;;;;
APV;Look Voyages;Look Voyages;45 rue des Godrans;;21000;Dijon;dijon@look-voyages.fr;03 80 30 30 12;;;;;;
APV;Selectour Afat;Afat;8 avenue Foch;;21000;Dijon;cperraud@selectourafat-voyages-girardot.com;03 85 42 83 62;;www.selectourafat-voyages-girardot.com;;;;
NDV;AMV;;10 rue Léon Mauris;;21000;Dijon;amv.voyages@wanadoo.fr;03 8073 48 63;03 80 74 15 17;;;;;
APV;Selectour Afat;Afat;18 rue du Chateau Rouge;;21000;Dijon;ngranjon@selectourafat-voyages-girardot.com;03 85 42 83 55;;;;;;
APV;Thomas Cook;Thomas Cook;3 place Darcy;;21000;Dijon;elie.joset@thomascook.fr;03 80 50 87 10;03 80 50 87 19;;;;;
APV;Marmara;Marmara;7 place des Cordeliers;;21000;Dijon;dijon.nf@nouvelles-frontieres.fr;03 80 31 89 30;;;;;;
APV;Hervé Coutarel;;8 rue Louise Weiss;;55000;Bar-le-Duc;barleduc@voyages-coutarel.com;03 29 710 710;;;;;;
APV;Havas Voyages;Havas Voyages;31 Place Reggio;;55000;Bar-le-Duc;ag.ltreims@havasvoyages.fr;03 29 76 15 43;03 29 45 13 79;;;;;
APV;Pret à Partir;Pret à Partir;47 boulevard de la Rochelle;;55000;Bar-le-Duc;bar-le-duc@pretapartir.fr;03 29 79 34 22;03 29 79 20 80;;;;;
NDV;Objectif Lune;;36 rue des carmes;;;;;;;;;;;
APV;E. Leclerc Voyage;Leclerc Voyages;Rue du général Leclerc BP 58;;88192;Golbey;golbey@leclercvoyages.com;03 29 31 89 57;03 29 31 89 56;;;;;
APV;Pret à Partir;Pret à Partir;12 place des Vosges Bp 319;;88008;Epinal;epinal@pretapartir.fr;03 29 81 38 00;03 29 81 38 09;;;;;
APV;Thomas Cook;Thomas Cook;6 rue Rualménil;;88015;Epinal;epinal@thomascook.fr;03 29 64 04 04;03 29 64 40 50;;;;;
NDV;Richard Fléchon Voyages;(Selectour);111;113, rue Ernest Deproge;97200;FORT-DE-FRANCE;riflev@wanadoo.fr;05 96 73 35 35;05 96 63 90 20;;;;;
NDV;Touriscar Voyages;(Selectour);"""La Manufacture""";16, rue de la République;74000;ANNECY;annecy@touriscar.net;04 50 45 40 73;04 50 45 34 93;www.toorisme.com;;;;
NDV;Brun Travel;;"""Le plâtre""";Chemin du Col de l'Arc;38760;SAINT-PAUL-DE-VARCES;bruntravel@wanadoo.fr;04 76 73 27 89;04 76 72 22 14;www.brun-voyages-travel.fr;;;;
NDV;GALERIES LAFAYETTE VOYAGES;;(B.H.V.) 9, rue des Archives;;75004;PARIS;frabba@carlsonwagonlit.fr;01 42 78 38 91;01 42 74 16 92;;;;;
NDV;Tourisme Verney Distribution;;(direction générale) 2, rue des Bourets;;92150;SURESNES;;01 42 04 99 60;01 42 04 99 66;;;;;
NDV;Place Voyages;(Afat);(Jet Tours) C.C. place d'Armes;12, rue de la Halle;59300;VALENCIENNES;place-jettours@placevoyages.com;03 27 20 17 17;03 27 42 70 68;;;;;
NDV;Voyages 31;(Selectour);(Siège) 17, av. des Etats-Unis;;31000;TOULOUSE;info@voyages31.com;05 62 72 99 99;05 62 72 99 98;;;;;
NDV;COMPAGNIES DU MONDE;;(siège) 19, rue Molière;;75001;PARIS;;01 55 35 05 05;01 55 35 05 00;;;;;
NDV;VSM;(Degrif'tours/Lastminute/Travelprice);(siège) 54-56, bd Victor-Hugo;;93400;SAINT-OUEN;;01 49 21 67 90;01 49 21 67 91;www.lastminute.com;;;;
NDV;SELECTOUR VOYAGES;;(siège) 6, rue Laferrière;;75009;PARIS;;01 55 07 12 10;01 55 07 12 11;www.selectour.com;;;;
NDV;Club Voyages;;(siège) 6, rue Marcel Dassault;Parc d'Act. Maison Neuve;44980;SAINTE-LUCE-SUR-LOIRE;;02 51 85 07 70;02 51 85 08 62;www.club-voyages.fr;;;;
NDV;Fnac Voyages;;(siège) 67, bd du Général Leclerc;;92110;CLICHY;;01 55 21 58 40;01 55 21 58 41;www.fnac.com;;;;
NDV;Voyages Carrefour;;(siège) 7, place Copernic;;91000;EVRY;;01 69 36 01 02;01 69 36 01 03;;;;;
NDV;Thomas Cook Voyages;;(Siège) 92/98, bd Victor Hugo;;92110;CLICHY;;01 76 77 70 00;;;;;;
NDV;Thomas Cook Voyages;;1 bis, allée d'Azémar;;83300;DRAGUIGNAN;draguignan@thomascook.fr;04 94 50 92 80;04 94 68 57 91;www.thomascook.fr;;;;
NDV;Provence Voyages;(Selectour);1 bis, av. Charles-de-Gaulle;;84130;PONTET (LE);provence-lepontet@selectour.com;04 90 31 14 90;04 90 32 57 45;;;;;
NDV;Nouvelles Frontières;;1 bis, cours du 14 Juillet;;47000;AGEN;agen.nf@nouvelles-frontieres.fr;05 53 47 60 60;05 53 47 60 47;www.nouvelles-frontieres.fr;;;;
NDV;Wasteels Voyages;Thomas Cook Voyages;1 bis, place Thiers;;54000;NANCY;nancy@wasteels.fr;03 83 35 91 99;03 83 35 61 94;www.wasteels.fr;;;;
NDV;Agence Penchard;(Afat);1 bis, rue de la République;;97100;BASSE-TERRE;basseterre@penchard-voyages.fr;05 90 81 27 12;05 90 81 07 11;www.penchard-voyages.com;;;;
NDV;Oléron Voyages;(Afat);1 bis, rue de la République;;17370;SAINT-PIERRE-D'OLERON;oleronvoyages@wanadoo.fr;05 46 47 00 88;05 46 47 37 59;;;;;
NDV;Club Med Voyages;;1 bis, rue des Lois;;31000;TOULOUSE;;05 34 45 53 20;05 61 29 87 37;www.clubmed.fr;;;;
NDV;Bien Etre Evasion;;1 bis, rue du Bénélux;;44000;NANTES;;02 51 89 16 80;02 51 89 16 89;;;;;
NDV;Alsavosges Voyages;Thomas Cook Voyages;1 bis, rue du Pré Contal;;54300;LUNEVILLE;alsavosges.tourisme1@orange.fr;03 83 73 23 98;03 83 74 03 79;;;;;
NDV;Jancarthier Voyages;(Manor);1 bis, rue François 1er;;06000;NICE;nice@jancarthier.fr;04 93 82 11 75;04 93 16 19 34;;;;;
NDV;PLANET'AIR VOYAGES;(Tourcom);1 bis, rue Pierre Larousse;;75014;PARIS;planetairv@wanadoo.fr;01 45 42 66 09;01 45 40 71 41;;;;;
NDV;Oleis Travel Events;;1, av Albin Gilles;;13210;SAINT-REMY DE PROVENCE;info@oleis-travelevents.com;04 88 99 00 10;04 32 62 72 63;www.oleis-travelevents.com;;;;
NDV;National Tours;;1, av de l'Homme à la fenêtre Z.I de la Valampe;;13220;CHATEAUNEUF-LES-MARTIGUES;marseille@national-tours.fr;04 42 31 69 00;04 42 31 69 01;www.national-tours.com;;;;
NDV;E. Leclerc Voyages;;1, av du Général de Gaulle;;90000;BELFORT;belfort@leclercvoyages.com;03 84 90 36 95;03 84 22 69 20;www.leclercvoyages.com;;;;
NDV;Havas Voyages/Evasion 2000;(Tourcom);1, av Montaigne;;33160;SAINT-MEDARD-EN-JALLES;chantal.evasion2000@travelbox.fr;05 56 16 10 20;05 56 95 85 10;;;;;
NDV;Sembat Tourisme;(Manor);1, av. André-Morizet (Jet Tours);;92100;BOULOGNE BILLANCOURT;agence-boulogne@sembat-tourisme.fr;01 46 99 64 64;01 46 99 64 74;;;;;
NDV;Cote Bleue Voyages;Thomas Cook Voyages;1, av. Clément Monnier;'Le Kalliste';13960;SAUSSET LES PINS;thomascook.sausset@thomascook.fr;04 42 44 21 40;04 42 44 21 41;;;;;
NDV;TABARKA EVASION;;1, av. de Corbera;;75012;PARIS;infos@tabarkaevasion.com;01 43 40 64 90;01 43 40 53 77;www.tabarkaevasion.com;;;;
NDV;HYPER VACANCES;(Tourcom);1, av. de la République;;75011;PARIS;;01 55 28 31 00;01 48 06 39 00;;;;;
NDV;Nouvelles Vagues;;1, av. de l'Europe;Imm. Campus 1F;31000;TOULOUSE;nouvelles-vagues@wanadoo.fr;05 62 88 97 60;05 62 88 03 99;;;;;
NDV;Club Voyages;;1, av. de Stalingrad;;94800;VILLEJUIF;villejuif@clubvoyages.com;01 46 78 82 12;01 46 77 98 84;www.club-voyages.fr;;;;
NDV;Caraïbes Voyages;(Afat);1, av. de Toulouse;;31130;BALMA;agence.balma@caraibesvoyages.com;05 61 36 55 10;05 61 24 43 69;;;;;
NDV;Kuoni Voyages;;1, av. de-Lattre-de-Tassigny;;68100;MULHOUSE;mulhouse@kuoni.fr;03 89 45 16 16;03 89 45 80 80;www.kuoni.fr;;;;
NDV;Voyages Auchan/Mondial Travel;;1, av. Descartes;;60000;BEAUVAIS;vfoulon@auchan.fr;03 44 02 56 81;03 44 02 59 22;www.voyagesauchan.com;;;;
NDV;MDT;;1, av. du Dr Roux;;06000;NICE;mdt.gilles@wanadoo.fr;04 93 71 50 85;04 93 71 36 91;www.tanganyika.com;;;;
NDV;OVP;(Selectour);1, av. Gabriel Péri;;83520;ROQUEBRUNE SUR ARGENS;roquebrune@ovp.fr;04 94 45 08 14;04 94 45 09 53;;;;;
NDV;Lusitania Voyages/Jancarthier Voyages;(Manor);1, av. Jacques Duclos;;91700;SAINTE-GENEVIEVE-DES-BOIS;stgenevieve@lusitania.fr;01 69 25 01 94;01 69 25 24 49;www.lusitania.fr;;;;
NDV;CID;(Centre international Deauville);1, av. Lucien Barrière;;14801;DEAUVILLE;email@congres-deauville.com;02 31 14 14 14;02 31 14 01 01;www.congres-deauville.com;;;;
NDV;Verdié Voyages;(Afat);1, av. Maréchal Joffre;;11000;CARCASSONNE;agence.carcassonne@verdie.com;04 68 25 09 06;04 68 47 66 44;www.verdie.com;;;;
NDV;Corsicatours;Thomas Cook Voyages;1, av. Maréchal Sébastiani;;20200;BASTIA;corsicatoursbia@wanadoo.fr;04 95 34 11 12;04 95 31 62 37;;;;;
NDV;Dauphitour;;1, av. Pierre Sémard;;38400;SAINT-MARTIN-D'HERES;dauphitour@wanadoo.fr;04 76 42 88 02;04 76 42 88 03;;;;;
NDV;Monte Carlo Travel;;1, av. Princesse Grace;Hôtel Mirabeau;98000;MONACO;agence@montecarlotravel.net;(377) 93 25 47 00;(377) 93 25 12 79;www.montecarlotravel.net;;;;
NDV;Mercury Travel Agency;(Afat);1, av. Princesse-Alice;;98000;MONACO;info@mercurymonaco.com;(377) 92 16 52 60;(377) 93 30 62 46;www.mercurymonaco.com;;;;
NDV;Voyages Respire/HM Tourisme;(Afat);1, avenue François Mitterand;CC Hyper U;79200;PARTHENAY;info@hm-tourisme.com;05 49 94 34 85;05 49 64 34 09;www.afat-voyages-parthenay.com;;;;
NDV;Wasteels Voyages;Thomas Cook Voyages;1, bd Bonrepos;;31500;TOULOUSE;toulousebonrepos@wasteels.fr;05 61 62 86 16;05 61 63 42 10;;;;;
NDV;Aliso Voyages;(Selectour);1, bd d'Arcole;;31000;TOULOUSE;aliso-toulouse@selectour.com;05 61 62 15 53;05 61 63 90 17;;;;;
NDV;Atlas Voyages;(Tourcom);1, bd du Lycée;;74000;ANNECY;atlas.voyages1@wanadoo.fr;04 50 57 11 14;04 50 57 09 42;;;;;
NDV;Carlson Wagonlit Voyages;;1, bd Fleurus;;87000;LIMOGES;ag.ltlimoges@carlsonwagonlit.fr;05 55 32 24 25;05 55 32 92 92;;;;;
NDV;Massilia Voyages;(Selectour);1, bd Françoise Duparc;;13004;MARSEILLE;massilia-marseille4@selectour.com;04 91 49 90 43;04 91 49 90 50;;;;;
NDV;Aquatour;Thomas Cook Voyages;1, bd Vauban;;59400;CAMBRAI;aq.cambrai@aquatour.com;03 27 81 80 70;03 27 78 13 69;;;;;
NDV;Fab Travel;(Tourcom);1, bis rue du Cardinal Ancher;;10000;TROYES;troyes@fab-travel.com;03 25 70 89 19;09 55 64 06 50;www.fab-travel.com;;;;
NDV;Guimas /Découvertes Voyages;;1, boulevard de l'Oise;;95000;CERGY;groupes@decouvertevoyages.com;01 30 38 06 06;01 30 75 96 05;www.decouvertevoyages.com;;;;
NDV;Voyages Carrefour;;1, C.C. Euralille;;59000;LILLE;carrefour_voyages_euralille@carrefour.com;03 20 21 86 90;03 20 21 00 18;;;;;
NDV;ALTIS;;1, cité de Trévise;;75009;PARIS;y.hervy@altis-voyages.fr;01 44 83 84 22;01 40 22 92 76;www.altis-voyages.fr;;;;
NDV;VERTICAL VOYAGES;;1, Cité Paradis;;75010;PARIS;;01 47 70 05 16;01 47 70 19 76;;;;;
NDV;VTL Voyages;Thomas Cook Voyages;1, cours Carnot;;13160;CHATEAURENARD;vtl.chateaurenard@thomascookfr.com;04 90 94 79 79;04 90 94 43 06;www.thomascook.fr;;;;
NDV;Sobretour;(Selectour);1, cours de Verdun;;01000;BOURG-EN-BRESSE;sobretour-voyages@selectour.com;04 74 22 58 15;04 74 45 33 19;www.itinea-voyages.com;;;;
NDV;Lumi Voyages;;1, cours Mirabeau;;13700;MARIGNANE;lumi-voyages@orange.fr;04 42 09 99 20;04 42 09 96 93;;;;;
NDV;Boiloris/Ambassade Fram;;1, D av. du Général Leclerc;;78120;RAMBOUILLET;rambouillet@boiloris.com;01 75 44 85 71;01 78 94 82 25;www.ambassade-fram-boiloris75.com;;;;
NDV;Courant Chaud;;1, impasse de l'Eglise;;69400;VILLEFRANCHE-SUR-SAONE;;04 74 68 91 91;04 74 68 91 62;www.courantchaud.com;;;;
NDV;E. Leclerc Voyages;;1, La Belle Fontaine;;57155;MARLY;marly@leclercvoyages.com;03 87 18 18 32;03 87 18 18 33;;;;;
NDV;Voyages Dernouvel /CWV;;1, Marché-aux-Pots;;67600;SELESTAT;ag.ltselestat.pots@carlsonwagonlit.fr;0 826 825 689;0 826 825 789;;;;;
NDV;Nouveaux Espaces;(Les);1, passage de France;;90000;BELFORT;nouveaux-espaces.belfort@wanadoo.fr;03 84 22 21 20;03 84 21 36 18;www.hopla.fr;;;;
NDV;Voyages Dépêche/CWV;;1, place Arago;;66000;PERPIGNAN;ag.ltperpignan.arago@carlsonwagonlit.fr;0 826 825 272;0 826 825 372;;;;;
NDV;ACTA Voyages/CWV;;1, place Aristide-Briand;;56100;LORIENT;ag.ltlorient@carlsonwagonlit.fr;02 97 21 59 32;02 97 21 62 56;;;;;
NDV;Alian Tour;;1, place Champ Commun;;65100;LOURDES;lourdes@aliantour.fr;05 62 42 18 18;05 62 42 73 52;www.aliantour.fr;;;;
NDV;RL Voyages/CWV;;1, place Claude Arnould;;57100;THIONVILLE;ag.ltthionville.rl@carlsonwagonlit.fr;0 826 825 244;0 826 825 344;;;;;
