licence;iata;agence;Réseau;adresse;adresse2;adresse3;adresse4;BP;cp;ville;email;tel;fax;web;Contacts;;;;;;;;;
44040002;;Club Voyages;;(siège) 6, rue Marcel Dassault;Parc d'Act. Maison Neuve;;;;44980;SAINTE-LUCE-SUR-LOIRE;;02 51 85 07 70;02 51 85 08 62;www.club-voyages.fr;;;;;;;;;;
092950018;;Fnac Voyages;;(siège) 67, bd du Général Leclerc;;;;;92110;CLICHY;;01 55 21 58 40;01 55 21 58 41;www.fnac.com;Directeur;Gstalder Bertrand;;;;;;;;
091950009;20228961;Voyages Carrefour;;(siège) 7, place Copernic;;;;BP 224  ;91000;EVRY;;01 69 36 01 02;01 69 36 01 03;;;;;;;;;;;
092950011;20211656;Thomas Cook Voyages;;(Siège) 92/98, bd Victor Hugo;;;;;92110;CLICHY;;01 76 77 70 00;;;;;;;;;;;;
092950011;20201602;Thomas Cook Voyages;;1 bis, allée d'Azémar;;;;;83300;DRAGUIGNAN;draguignan@thomascook.fr;04 94 50 92 80;04 94 68 57 91;www.thomascook.fr;;;;;;;;;;
084950013;20209125;Provence Voyages;(Selectour);1 bis, av. Charles-de-Gaulle;;;;;84130;PONTET (LE);provence-lepontet@selectour.com;04 90 31 14 90;04 90 32 57 45;;Directeur;Clerc Isabelle;;;;;;;;
047040001;;Nouvelles Frontières/Voyages Vacances Loisirs;;1 bis, cours du 14 Juillet;;;;;47000;AGEN;agen.nf@nouvelles-frontieres.fr;05 53 47 60 60;05 53 47 60 47;www.nouvelles-frontieres.fr;Chef d'agence;Laures-Couderc Marc;;;;;;;;
093060011;20204321;Wasteels Voyages/Thomas Cook Voyages;;1 bis, place Thiers;;;;;54000;NANCY;nancy@wasteels.fr;03 83 35 91 99;03 83 35 61 94;www.wasteels.fr;Chef d'agence;Mateus Rosa;;;;;;;;
971950003;81506434;Agence Penchard;(Afat);1 bis, rue de la République;;;;;97100;BASSE-TERRE;basseterre@penchard-voyages.fr;05 90 81 27 12;05 90 81 07 11;www.penchard-voyages.com;Directeur;Penchard Jean-Michel;;;;;;;;
017960004;;Oléron Voyages;(Afat);1 bis, rue de la République;;;;;17370;SAINT-PIERRE-D'OLERON;oleronvoyages@wanadoo.fr;05 46 47 00 88;05 46 47 37 59;;Directeur;Grenou Serge;;;;;;;;
75950333;;Club Med Voyages;;1 bis, rue des Lois;;;;;31000;TOULOUSE;;05 34 45 53 20;05 61 29 87 37;www.clubmed.fr;Chef d'agence;Giroud Céline;;;;;;;;
44970002;;Bien Etre Evasion;;1 bis, rue du Bénélux;;;;;44000;NANTES;;02 51 89 16 80;02 51 89 16 89;;Directeur;Meledo Hervé;;;;;;;;
54950002;;Alsavosges Voyages/Thomas Cook Voyages;;1 bis, rue du Pré Contal;;;;;54300;LUNEVILLE;alsavosges.tourisme1@orange.fr;03 83 73 23 98;03 83 74 03 79;;Directeur;Weckerle Françoise;;;;;;;;
075960067;;Jancarthier Voyages;(Manor);1 bis, rue François 1er;;;;;06000;NICE;nice@jancarthier.fr;04 93 82 11 75;04 93 16 19 34;;;;;;;;;;;
075980007;;PLANET'AIR VOYAGES;(Tourcom);1 bis, rue Pierre Larousse;;;;;75014;PARIS;planetairv@wanadoo.fr;01 45 42 66 09;01 45 40 71 41;;Gérant;Choufane Thierry;;;;;;;;
013060004;;Oleis Travel Events;;1, av Albin Gilles;;;;;13210;SAINT-REMY DE PROVENCE;info@oleis-travelevents.com;04 88 99 00 10;04 32 62 72 63;www.oleis-travelevents.com;;;;;;;;;;
035960008;;National Tours;;1, av de l'Homme à la fenêtre Z.I de la Valampe;;;;;13220;CHATEAUNEUF-LES-MARTIGUES;marseille@national-tours.fr;04 42 31 69 00;04 42 31 69 01;www.national-tours.com;Chef d'agence;Vial Dominique;;;;;;;;
90060001;;E. Leclerc Voyages;;1, av du Général de Gaulle;;;;;90000;BELFORT;belfort@leclercvoyages.com;03 84 90 36 95;03 84 22 69 20;www.leclercvoyages.com;;;;;;;;;;
064990003;;Havas Voyages/Evasion 2000;(Tourcom);1, av Montaigne;;;;;33160;SAINT-MEDARD-EN-JALLES;chantal.evasion2000@travelbox.fr;05 56 16 10 20;05 56 95 85 10;;;;;;;;;;;
092950009;;Sembat Tourisme;(Manor);1, av. André-Morizet (Jet Tours);;;;;92100;BOULOGNE BILLANCOURT;agence-boulogne@sembat-tourisme.fr;01 46 99 64 64;01 46 99 64 74;;Chef d'agence;Zambetti Jean-Pierre;;;;;;;;
13060006;20241874;Cote Bleue Voyages/Thomas Cook Voyages;;1, av. Clément Monnier;'Le Kalliste';;;BP 41 ;13960;SAUSSET LES PINS;thomascook.sausset@thomascook.fr;04 42 44 21 40;04 42 44 21 41;;Directeur;Colomban Florence;;;;;;;;
075000029;;TABARKA EVASION;;1, av. de Corbera;;;;;75012;PARIS;infos@tabarkaevasion.com;01 43 40 64 90;01 43 40 53 77;www.tabarkaevasion.com;Co-gérant;Cellier Jean-Louis;;;;;;;;
075950211;20287374;HYPER VACANCES;(Tourcom);1, av. de la République;;;;;75011;PARIS;;01 55 28 31 00;01 48 06 39 00;;Directeur;Terzi Sophie;;;;;;;;
031990002;;Nouvelles Vagues;;1, av. de l'Europe;Imm. Campus 1F;;;;31000;TOULOUSE;nouvelles-vagues@wanadoo.fr;05 62 88 97 60;05 62 88 03 99;;Directeur;Castebrunet Bernard;;;;;;;;
44040002;;Club Voyages;;1, av. de Stalingrad;;;;;94800;VILLEJUIF;villejuif@clubvoyages.com;01 46 78 82 12;01 46 77 98 84;www.club-voyages.fr;Chef d'agence;Zrida Sonia;;;;;;;;
31950004;20221622;Caraïbes Voyages;(Afat);1, av. de Toulouse;;;;;31130;BALMA;agence.balma@caraibesvoyages.com;05 61 36 55 10;05 61 24 43 69;;Directeur;Born Nathalie;;;;;;;;
075950314;;Kuoni Voyages;;1, av. de-Lattre-de-Tassigny;;;;;68100;MULHOUSE;mulhouse@kuoni.fr;03 89 45 16 16;03 89 45 80 80;www.kuoni.fr;;;;;;;;;;
059990005;;Voyages Auchan/Mondial Travel;;1, av. Descartes;;;;;60000;BEAUVAIS;vfoulon@auchan.fr;03 44 02 56 81;03 44 02 59 22;www.voyagesauchan.com;Chef d'agence;Foulon Valérie;;;;;;;;
006970006;;MDT;;1, av. du Dr Roux;;;;;06000;NICE;mdt.gilles@wanadoo.fr;04 93 71 50 85;04 93 71 36 91;www.tanganyika.com;Chef d'agence;Paccard Gilles;;;;;;;;
069950040;;OVP;(Selectour);1, av. Gabriel Péri;;;;;83520;ROQUEBRUNE SUR ARGENS;roquebrune@ovp.fr;04 94 45 08 14;04 94 45 09 53;;;;;;;;;;;
075950560;2025957;Lusitania Voyages/Jancarthier Voyages;(Manor);1, av. Jacques Duclos;;;;;91700;SAINTE-GENEVIEVE-DES-BOIS;stgenevieve@lusitania.fr;01 69 25 01 94;01 69 25 24 49;www.lusitania.fr;Chef d'agence;de Carvalho Delphine;;;;;;;;
14990002;;CID;(Centre international Deauville);1, av. Lucien Barrière;;;;BP 71100 ;14801;DEAUVILLE;email@congres-deauville.com;02 31 14 14 14;02 31 14 01 01;www.congres-deauville.com;Directeur;Belin Jacques;;;;;;;;
012950007;;Verdié Voyages;(Afat);1, av. Maréchal Joffre;;;;;11000;CARCASSONNE;agence.carcassonne@verdie.com;04 68 25 09 06;04 68 47 66 44;www.verdie.com;Chef d'agence;Freville Christine;;;;;;;;
02A960001;20222635;Corsicatours/Thomas Cook Voyages;;1, av. Maréchal Sébastiani;;;;;20200;BASTIA;corsicatoursbia@wanadoo.fr;04 95 34 11 12;04 95 31 62 37;;Directeur;Ettori Jean-Marc;;;;;;;;
38970006;;Dauphitour;;1, av. Pierre Sémard;;;;;38400;SAINT-MARTIN-D'HERES;dauphitour@wanadoo.fr;04 76 42 88 02;04 76 42 88 03;;Directeur;Monnet Catherine;;;;;;;;
;20249294;Monte Carlo Travel;;1, av. Princesse Grace;Hôtel Mirabeau;;;;98000;MONACO;agence@montecarlotravel.net;(377) 93 25 47 00;(377) 93 25 12 79;www.montecarlotravel.net;Directeur;Danino Elyse;;;;;;;;
;20203120;Mercury Travel Agency;(Afat);1, av. Princesse-Alice;;;;;98000;MONACO;info@mercurymonaco.com;(377) 92 16 52 60;(377) 93 30 62 46;www.mercurymonaco.com;Directeur;Mancini de Boni Evelyne;;;;;;;;
079970005;;Voyages Respire/HM Tourisme;(Afat);1, avenue François Mitterand;CC Hyper U;;;;79200;PARTHENAY;info@hm-tourisme.com;05 49 94 34 85;05 49 64 34 09;www.afat-voyages-parthenay.com;;;;;;;;;;
093060011;;Wasteels Voyages/Thomas Cook Voyages;;1, bd Bonrepos;;;;;31500;TOULOUSE;toulousebonrepos@wasteels.fr;05 61 62 86 16;05 61 63 42 10;;Chef d'agence;Dalmaso Joseph;;;;;;;;
13970001;20213723;Aliso Voyages;(Selectour);1, bd d'Arcole;;;;;31000;TOULOUSE;aliso-toulouse@selectour.com;05 61 62 15 53;05 61 63 90 17;;Directeur;Machenaud Didier;;;;;;;;
74980008;20236274;Atlas Voyages;(Tourcom);1, bd du Lycée;;;;;74000;ANNECY;atlas.voyages1@wanadoo.fr;04 50 57 11 14;04 50 57 09 42;;Directeur;Assouline Yves;;;;;;;;
75990098;20211553;Carlson Wagonlit Voyages;;1, bd Fleurus;;;;;87000;LIMOGES;ag.ltlimoges@carlsonwagonlit.fr;05 55 32 24 25;05 55 32 92 92;;Chef d'agence;Legrand Gilles;;;;;;;;
013960013;20218484;Massilia Voyages;(Selectour);1, bd Françoise Duparc;;;;;13004;MARSEILLE;massilia-marseille4@selectour.com;04 91 49 90 43;04 91 49 90 50;;Chef d'agence;Aubert Patricia;;;;;;;;
62960014;;Aquatour/Thomas Cook Voyages;;1, bd Vauban;;;;;59400;CAMBRAI;aq.cambrai@aquatour.com;03 27 81 80 70;03 27 78 13 69;;;;;;;;;;;
010070001;20252912;Fab Travel;(Tourcom);1, bis rue du Cardinal Ancher;;;;;10000;TROYES;troyes@fab-travel.com;03 25 70 89 19;09 55 64 06 50;www.fab-travel.com;;;;;;;;;;
095990002;;Guimas /Découvertes Voyages;;1, boulevard de l'Oise;;;;;95000;CERGY;groupes@decouvertevoyages.com;01 30 38 06 06;01 30 75 96 05;www.decouvertevoyages.com;Directeur;Bochard Isabelle;;;;;;;;
091950009;20228961;Voyages Carrefour;;1, C.C. Euralille;;;;;59000;LILLE;carrefour_voyages_euralille@carrefour.com;03 20 21 86 90;03 20 21 00 18;;;;;;;;;;;
75950015;20247301;ALTIS;;1, cité de Trévise;;;;;75009;PARIS;y.hervy@altis-voyages.fr;01 44 83 84 22;01 40 22 92 76;www.altis-voyages.fr;Directeur;Hervy Yann;;;;;;;;
075050018;;VERTICAL VOYAGES;;1, Cité Paradis;;;;;75010;PARIS;;01 47 70 05 16;01 47 70 19 76;;;;;;;;;;;
013960001;20299355;VTL Voyages/Thomas Cook Voyages;;1, cours Carnot;;;;;13160;CHATEAURENARD;vtl.chateaurenard@thomascookfr.com;04 90 94 79 79;04 90 94 43 06;www.thomascook.fr;Directeur;Gervais Claude;;;;;;;;
001960003;;Sobretour;(Selectour);1, cours de Verdun;;;;BP 116 ;01000;BOURG-EN-BRESSE;sobretour-voyages@selectour.com;04 74 22 58 15;04 74 45 33 19;www.itinea-voyages.com;;;;;;;;;;
013960099;20220071;Lumi Voyages;;1, cours Mirabeau;;;;;13700;MARIGNANE;lumi-voyages@orange.fr;04 42 09 99 20;04 42 09 96 93;;Directeur;Serrano Claude;;;;;;;;
75060070;2020967;Boiloris/Ambassade Fram;;1, D av. du Général Leclerc;;;;;78120;RAMBOUILLET;rambouillet@boiloris.com;01 75 44 85 71;01 78 94 82 25;www.ambassade-fram-boiloris75.com;;;;;;;;;;
69950016;20231901;Courant Chaud;;1, impasse de l'Eglise;;Limas;;;69400;VILLEFRANCHE-SUR-SAONE;;04 74 68 91 91;04 74 68 91 62;www.courantchaud.com;Directeur associé;Beillard Valérie;;;;;;;;
57020001;20249493;E. Leclerc Voyages;;1, La Belle Fontaine;;;;;57155;MARLY;marly@leclercvoyages.com;03 87 18 18 32;03 87 18 18 33;;Chef d'agence;Genty Valérie;;;;;;;;
075000072;20203072;Voyages Dernouvel /CWV;;1, Marché-aux-Pots;;;;;67600;SELESTAT;ag.ltselestat.pots@carlsonwagonlit.fr;0 826 825 689;0 826 825 789;;;;;;;;;;;
068950012;;Nouveaux Espaces;(Les);1, passage de France;;;;;90000;BELFORT;nouveaux-espaces.belfort@wanadoo.fr;03 84 22 21 20;03 84 21 36 18;www.hopla.fr;;;;;;;;;;
031950026;20211236;Voyages Dépêche/CWV;;1, place Arago;;;;;66000;PERPIGNAN;ag.ltperpignan.arago@carlsonwagonlit.fr;0 826 825 272;0 826 825 372;;;;;;;;;;;
29950003;20209420;ACTA Voyages/CWV;;1, place Aristide-Briand;;;;;56100;LORIENT;ag.ltlorient@carlsonwagonlit.fr;02 97 21 59 32;02 97 21 62 56;;;;;;;;;;;
75990056;;Alian Tour;;1, place Champ Commun;;;;;65100;LOURDES;lourdes@aliantour.fr;05 62 42 18 18;05 62 42 73 52;www.aliantour.fr;Chef d'agence;Fante Joëlle;;;;;;;;
057010002;20225402;RL Voyages/CWV;;1, place Claude Arnould;;;;;57100;THIONVILLE;ag.ltthionville.rl@carlsonwagonlit.fr;0 826 825 244;0 826 825 344;;;;;;;;;;;
27020001;;Ambre Voyages;(Manor);1, place de Gaulle;;;;;27000;EVREUX;ambrevoyages@wanadoo.fr;02 32 33 55 22;02 32 33 33 92;;Directeur;Cordier Pascal;;;;;;;;
95950016;20248093;Blanc Bleu Voyages;(Tourcom);1, place de la Fontaine;;;;;95000;CERGY;blancbleuvoyages@wanadoo.fr;01 34 24 08 00;01 34 24 98 23;;Directeur;Le Crublier-Couzi Sophie;;;;;;;;
33030002;;Dakota Voyages;(Tourcom);1, place de la Liberté;;;;;33130;BEGLES;info@dakotavoyages.com;05 57 35 93 59;05 57 35 33 22;;;;;;;;;;;
092950011;20230092;Thomas Cook Voyages;;1, place de l'Eglise;;;;;78110;VESINET (LE);le.vesinet@thomascook.fr;01 30 15 28 70;01 30 15 28 79;www.thomascook.fr;Chef d'agence;Cherruau Lydia;;;;;;;;
092950011;20255362;Thomas Cook Voyages;;1, place de l'Hôtel de Ville;;;;;71300;MONTCEAUX-LES-MINES;montceau.les.mines@thomascook.fr;03 85 67 92 20;03 85 58 15 33;www.thomascook.fr;;;;;;;;;;
031950026;20211833;Voyages Dépêche/CWV;;1, place de Verdun;;;;BP 430 ;65000;TARBES;ag.lttarbes@carlsonwagonlit.fr;0 826 825 277;0 826 825 377;;;;;;;;;;;
75950333;;Club Med Voyages;;1, place Delorme;;;;;44000;NANTES;thierry.le-gallic@clubmed.com;02 40 35 56 56;02 40 35 85 58;www.clubmed.fr;;;;;;;;;;
021040003;20234605;Voyage Conseil Bourgogne;(Tourcom);1, place des Cordeliers;;;;;21000;DIJON;agence@voyageconseilbourgogne.fr;03 80 30 98 26;03 80 30 99 50;www.voyageconseilbourgogne.fr;;;;;;;;;;
25970001;;Bernard Voyages;(Tourcom);1, place du Champ de Foire;;;;;25200;MONTBELIARD;info@bernard-voyages.com;03 81 91 10 70;03 81 97 11 49;www.bernard-voyages.com;Directeur;Jeannerot Bernard;;;;;;;;
094970001;;United Euro Travel;;1, place du Confluent France Chine;;;;;94140;ALFORTVILLE;cychinag@club-internet.fr;01 56 29 03 33;01 56 29 08 88;;Directeur commercial;Chen Yuan;Chef comptable;Su Mme;Directeur;Yang Guanghan;;;;
12950003;;Chauchard Evasion/Ambassade Fram;;1, place du Jourdais;;;;;81300;GRAULHET;chauchardgraulhet@triangle-voyages.com;05 63 34 44 44;05 63 34 47 79;www.chauchard-evasion.fr;;;;;;;;;;
067950011;;Royer Voyages;;1, place du Marché aux Fruits;;;;;68000;COLMAR;rv.colmar@royer-voyages.com;03 89 24 18 24;03 88 96 83 98;www.royer-voyages.com;Chef d'agence;Ruggeri Virginie;;;;;;;;
071990002;20259072;Traces & Découverte;(Afat);1, place du Pont de l'Etang;;;;;71250;CLUNY;agence@traces-decouverte.fr;03 85 20 54 81;09 56 66 34 77;;;;;;;;;;;
092950011;20279851;Thomas Cook Voyages;;1, place du Vigan;;;;;81000;ALBI;albi@thomascook.fr;05 63 48 88 70;05 63 38 97 69;www.thomascook.fr;;;;;;;;;;
088000001;;Voyages Hisler;;1, place Jeanne d'Arc;;;;;88000;EPINAL;voyages.hisler@club-internet.fr;03 29 33 07 07;03 29 33 05 45;;Chef d'agence;Hisler Aline;;;;;;;;
035000002;;Salaün Holidays;;1, place Maurice Gilet;;;;;29200;BREST;brestmartin@salaun-holidays.com;02 98 43 02 02;02 98 46 21 62;;Chef d'agence;Thouroude Eric;;;;;;;;
034040001;;Panorama Tourisme;;1, place Pierre Mendès France;;;;;34170;CASTELNAU LE LEZ;agence@panorama-tourisme.fr;04 67 02 64 10;04 67 02 64 14;www.panorama-tourisme.fr;Directeur;El Sol Sayed;;;;;;;;
095040003;;Flanes Voyages;(Tourcom);1, place Roger Levanneur;;;;;95160;MONTMORENCY;flamont-voyages@wanadoo.fr;01 34 17 56 56;01 34 17 55 55;;Directeur;Bokobza Didier;;;;;;;;
032970001;;Temps Forts Voyages;(Tourcom);1, place Salinis;;;;;32000;AUCH;tempsforts-voyages@wanadoo.fr;05 62 61 25 55;05 62 61 25 56;;Directeur;Laborde Pierre-Henry;;;;;;;;
064990001;20234841;Malterre Voyages/CWV;;1, place Soumireu Mourat;;;;;64800;NAY;malterre.voyages@gmail.com;05 59 61 10 11;05 59 61 40 86;;Directeur;Malterre Nicole;;;;;;;;
038980004;;Hémisphères Voyages;(Tourcom);1, place St-André;;;;;38000;GRENOBLE;contact@hemispheres-voyages.fr;04 38 37 22 22;04 38 37 22 20;www.hemispheres-voyages.fr;Directeur;Mercier Johannes;;;;;;;;
38950016;20218984;Carlson Wagonlit Voyages/Faure Tourisme;;1, place St-Julien;;;;;7300;TOURNON;faure-tourisme-tournon@nerim.net;04 75 07 23 99;04 75 08 77 80;;;;;;;;;;;
031950026;20211833;Midi Olympique Voyages/CWV;;1, place Verdun;;;;BP 430 ;65000;TARBES;ag.lttarbes.midiolympique@carlsonwagonlit.fr;0 826 825 288;0 826 825 388;;;;;;;;;;;
031950026;20275776;Voyages Dépêche/CWV;;1, quai du Carras;;;;;81100;CASTRES;ag.ltcastres@carlsonwagonlit.fr;0 826 825 267;0 826 825 367;;;;;;;;;;;
067950003;;Holiday Maker;;1, quai Finkmatt;;;;;67000;STRASBOURG;info@holiday-maker.fr;03 88 75 75 73;03 88 75 76 40;www.holiday-marker.fr;Directeur;Husain Muttaquee;;;;;;;;
971950013;;International Voyages;(Manor);1, quai Foulon;;;;;97110;POINTE-A-PITRE;international-voyages@wanadoo.fr;05 90 82 00 51;05 90 83 70 12;;Directeur;Travaz Catherine;;;;;;;;
034950009;20218774;Midi Libre Voyages/CWV;;1, quai Noël Guignon;;;;BP 84 ;34200;SETE;ag.ltsete@carlsonwagonlit.fr;0 826 825 331;0 826 825 431;www.midilibrevoyages.com;Chef d'agence;Souchon Cédrine;;;;;;;;
093050008;;Nouvelles Frontières;;1, Résidence Claire;31, place P.J Bernard;;;;97434;SAINT-GILLES-LES-BAINS;stgilles-run@nouvelles-frontieres.fr;02 62 33 11 95;02 62 33 11 97;www.nouvelles-frontieres.fr;Chef d'agence;Gourlain Perumal Karine;;;;;;;;
30080001;;E. Leclerc Voyages;;1, route de Tavel;;;;;30133;ANGLES (LES);leclercvoyages30@hotmail.fr;04 90 16 98 81;04 90 15 23 19;www.leclercvoyages.com;;;;;;;;;;
048060001;;Voyages Boulet;;1, route du Chapitre;;;;;48000;MENDE;voyages.boulet@wanadoo.fr;04 66 65 19 88;04 66 49 25 48;www.voyagesboulet.com;Directeur;Boulet David;;;;;;;;
075960218;;JUMBOTOURS;;1, rue Ambroise Thomas;;;;;75009;PARIS;info@jumbotours.fr;01 55 77 10 10;01 55 77 10 11;www.jumbotours.es;Chef comptable;Giroix Nathalie;Directeur commercial;Leborgne Rafael;;;;;;
056960012;;Jouanno Evasion;(Afat);1, rue Amiral Nielly;;;;;29200;BREST;brest@jouanno-evasion.com;02 98 33 97 97;02 98 33 97 98;;Chef d'agence;Autret Franck;;;;;;;;
092020014;;Issy Voyages;(Selectour);1, rue André Chenier;;;;;92130;ISSY-LES-MOULINEAUX;issy-voyages@selectour.com;01 46 44 26 55;01 41 33 95 43;;;;;;;;;;;
38950005;20214471;Aux 4 Coins du Monde;;1, rue Aubert Dubayet;;;;;38000;GRENOBLE;infos@auxquatrecoinsdumonde.fr;04 76 43 16 47;04 76 50 38 91;www.auxquatrecoinsdumonde.fr;Directeur;Raveau Nathalie;;;;;;;;
093050008;;Nouvelles Frontières;;1, rue Boncenne;;;;;86000;POITIERS;poitiers.nf@nouvelles-frontieres.fr;05 49 55 96 96;05 49 41 31 48;www.nouvelles-frontieres.fr;Chef d'agence;Bonnet Dominique;;;;;;;;
093060011;;Wasteels Voyages/Thomas Cook Voyages;;1, rue Cambacérès;;;;;34000;MONTPELLIER;montpelliercambaceres@wasteels.fr;04 67 66 45 79;04 67 60 32 73;;Chef d'agence;Marre Maria;;;;;;;;
75990098;;CARLSON WAGONLIT VOYAGES;;1, rue Cassette;;;;;75006;PARIS;ag.ltparis.cassette@carlsonwagonlit.fr;01 45 44 38 61;01 45 44 57 32;;;;;;;;;;;
69000010;;ATV;;1, rue Chavanne;;;;;69001;LYON;ariestourism@wanadoo.fr;04 78 29 90 13;04 78 29 96 48;;Gérant;Lombardo Jean-Jacques;;;;;;;;
75950333;;Club Med Voyages;;1, rue Colbert;;;;;37000;TOURS;;02 47 20 49 50;02 47 64 95 29;www.clubmed.com;Chef d'agence;Calvert Angèle;;;;;;;;
078950015;20254360;Mesnil Voyages/Thomas Cook Voyages;;1, rue Colbert;CC Espace St Quentin;;;;78180;MONTIGNY-LE-BRETONNEUX;reussite.quentin@thomascookfr.com;01 30 64 57 75;01 30 57 23 36;;Directeur;Casha Jean-Marie;Chef d'agence;Conductier Christelle;;;;;;
075950387;;Transunivers;;1, rue Courty-le-Prete;;;;;08090;BELVAL;08@transunivers.fr;03 24 59 30 22;03 24 59 30 22;www.transunivers.fr;;;;;;;;;;
92960007;;Aircom;;1, rue Curie;;;;;92150;SURESNES;contact@aircom.fr;01 45 06 45 06;01 45 06 45 64;www.aircom.fr;Directeur;Poncin Jean-Christophe;;;;;;;;
093050008;;Nouvelles Frontières;;1, rue D. Barquisseau;;;;;97410;SAINT-PIERRE;stpierre-run@nouvelles-frontieres.fr;02 62 35 27 17;02 62 25 46 93;www.nouvelles-frontieres.fr;Chef d'agence;Molinie Hervé;;;;;;;;
75950120;;ASIA;;1, rue Dante;;;;;75005;PARIS;dante@asia.fr;01 44 41 50 10;01 44 41 50 19;;;;;;;;;;;
075990098;20270854;La Voix du Nord Voyages/CWV;;1, rue de Bourgogne;;;;;59140;DUNKERQUE;ag.ltdunkerque@carlsonwagonlit.fr;0 826 825 501;0 826 825 601;;;;;;;;;;;
068040002;;Nouvelles Frontières/L'Arpenteur du Monde;;1, rue de Jemmapes;;;;;57100;THIONVILLE;thionville.nf@nouvelles-frontieres.fr;03 82 53 10 81;03 82 53 05 21;www.nouvelles-frontieres.fr;;;;;;;;;;
6000008;20243576;Contrastes Voyages;(Tourcom);1, rue de la Buffa;;;;;6000;NICE;contrastes@contrastes.com;04 93 87 28 63;04 93 87 29 11;www.contrastes.com;Directeur;Baille Jean-Pierre;;;;;;;;
972950009;81600256;Carré d'As/Thomas Cook Voyages;;1, rue de la Liberté;;;;;97200;FORT-DE-FRANCE;fdf@voyages.mq;05 96 63 66 66;05 96 60 38 98;www.voyages.mq;Directeur;Calmels Philippe;;;;;;;;
068040001;;Sava Voyages;;1, rue de la Weiss;;;;;68125;HOUSSEN;aydogdu68@hotmail.fr;06 03 81 75 17;03 89 45 17 02;;;;;;;;;;;
024950001;;Sarlat Voyages/Thomas Cook Voyages;;1, rue de l'Ancien Collège;;;;;24200;SARLAT-LA-CANEDA;thomas.cook.sarlat@wanadoo.fr;05 53 31 15 34;05 53 31 13 04;;Chef d'agence;Delbos Andrée;;;;;;;;
014960004;;Thellier Voyages;;1, rue de l'Avenir;;;;;14650;CARPIQUET;thelliervoyages@wanadoo.fr;02 31 80 06 00;02 31 80 26 02;www.thelliervoyages.com;Directeur;Thellier Patrick;;;;;;;;
069040006;;Sok San Voyages;;1, rue de Marseille;;;;;69007;LYON;infosoksan@gmail.com;04 37 28 67 71;04 72 72 90 67;;;;;;;;;;;
041010001;;Fermer Tourisme - Le Blanc/Thomas Cook Voyages;;1, rue des Cloutiers;;;;;36300;BLANC (LE);thomascook.leblanc@wanadoo.fr;02 54 28 74 20;02 54 37 80 29;;;;;;;;;;;
37960009;20257370;Atlantis Voyages;(Tourcom);1, rue des Fusillés;;;;BP 2045 ;37000;TOURS;atlantis-voyages@gotours.fr;02 47 20 75 72;02 47 20 13 91;www.atlantisvoyages.fr;Chef d'agence;Gomes Brigitte;Directeur;Gomes Jorge;;;;;;
001050001;;Les Jours Heureux Voyage;;1, rue des Pérouses;;;;;01350;CULOZ;jours.heureux.voyage@orange.fr;04 79 87 25 86;04 79 87 35 90;;;;;;;;;;;
